NCOA4,MAP2K3
USP15,MAP2K3
PNP,MAP2K3
TOP1,MAP2K3
RBM38,MAP2K3
RCL1,MAP2K3
TSPO2,MAP2K3
FOXO3,BNIP3L
ISCA1,BNIP3L
XPO7,BNIP3L
RAD23A,BNIP3L
MKRN1,BNIP3L
ACSL6,BNIP3L
AHSP,BNIP3L
ANK1,BNIP3L
CA2,BNIP3L
HBQ1,BNIP3L
HMBS,BNIP3L
PPOX,BNIP3L
RHAG,BNIP3L
BLVRB,BNIP3L
DCAF11,BNIP3L
GLRX5,BNIP3L
GYPC,BNIP3L
TAL1,BNIP3L
ALAD,BNIP3L
ALAS2,BNIP3L
EIF1AY,BNIP3L
EIF2AK1,BNIP3L
EPB42,BNIP3L
ERMAP,BNIP3L
FECH,BNIP3L
GYPB,BNIP3L
GYPE,BNIP3L
MAP2K3,BNIP3L
RHCE,BNIP3L
SELENBP1,BNIP3L
SLC4A1,BNIP3L
SPTA1,BNIP3L
TRIM10,BNIP3L
TRAK2,BNIP3L
BNIP3L,BNIP3L
CDC27,BNIP3L
SLC22A4,BNIP3L
BSG,BNIP3L
H1F0,BNIP3L
HIST1H4C,BNIP3L
MPP1,BNIP3L
NFE2,BNIP3L
OSBP2,BNIP3L
RANBP10,BNIP3L
SLC12A3,BNIP3L
SNCA,BNIP3L
TMCC2,BNIP3L
CLIC2,BNIP3L
MARCH8,BNIP3L
RHD,BNIP3L
TSPAN5,BNIP3L
FBXO7,BNIP3L
UROD,BNIP3L
SPTB,BNIP3L
NUDT4,BNIP3L
GYPA,BNIP3L
TFDP1,BNIP3L
FBXO9,BNIP3L
MARK3,BNIP3L
SMOX,BNIP3L
UBE2O,BNIP3L
RPIA,BNIP3L
GCLC,BNIP3L
RBX1,BNIP3L
PNP,BNIP3L
TOP1,BNIP3L
SLC30A1,BNIP3L
TSPO2,BNIP3L
FOXO3,SPTA1
ISCA1,SPTA1
TRIM58,SPTA1
XPO7,SPTA1
RAD23A,SPTA1
ABCB6,SPTA1
MXI1,SPTA1
ACSL6,SPTA1
RNF123,SPTA1
SLC6A8,SPTA1
AHSP,SPTA1
ANK1,SPTA1
CA2,SPTA1
HBQ1,SPTA1
HMBS,SPTA1
PPOX,SPTA1
RHAG,SPTA1
BLVRB,SPTA1
DCAF11,SPTA1
GLRX5,SPTA1
GYPC,SPTA1
TAL1,SPTA1
ALAD,SPTA1
ALAS2,SPTA1
EIF1AY,SPTA1
EIF2AK1,SPTA1
EPB42,SPTA1
ERMAP,SPTA1
FECH,SPTA1
GYPB,SPTA1
GYPE,SPTA1
MAP2K3,SPTA1
RHCE,SPTA1
SELENBP1,SPTA1
SLC4A1,SPTA1
SPTA1,SPTA1
TRIM10,SPTA1
TRAK2,SPTA1
BNIP3L,SPTA1
CDC27,SPTA1
SLC22A4,SPTA1
CROCCP2,SPTA1
BSG,SPTA1
H1F0,SPTA1
HIST1H4C,SPTA1
MPP1,SPTA1
NFE2,SPTA1
OSBP2,SPTA1
RANBP10,SPTA1
SLC12A3,SPTA1
SNCA,SPTA1
TMCC2,SPTA1
CLIC2,SPTA1
MARCH8,SPTA1
RHD,SPTA1
TSPAN5,SPTA1
FBXO7,SPTA1
UROD,SPTA1
SPTB,SPTA1
NUDT4,SPTA1
GYPA,SPTA1
KAT2B,SPTA1
CA1,SPTA1
GATA1,SPTA1
HBD,SPTA1
KEL,SPTA1
CTSE,SPTA1
KLF1,SPTA1
XK,SPTA1
MINPP1,SPTA1
TFDP1,SPTA1
FBXO9,SPTA1
MARK3,SPTA1
