probe_1,probe_2,rp,rp_pval,gene_1,gene_2,rg,rg_se,p1_h2,p2_h2,exp_se,p1_chr,p2_chr,p1_co,p2_co,dist,cis_trans,p_val
ILMN_1660923,ILMN_1666078,0.624,0,HCG4,HLA-H,0.707,0.126,0.392,0.742,0.095,6,6,29868678,29859670,9008,cis,2.01E-11
ILMN_1737195,ILMN_1739942,0.012,0.624,CENPK,FAM117B,0.488,0.087,0.999,0.848,0.108,5,2,64853096,203342628,NA,trans,2.03E-11
ILMN_2307025,ILMN_2208495,0.01,0.677,CPNE1,LASS5,-0.493,0.088,0.999,0.927,0.106,20,12,34214540,48810125,NA,trans,2.12E-11
ILMN_2086222,ILMN_1719622,-0.032,0.18,BRWD2,RABEP1,0.498,0.089,0.999,0.985,0.104,10,17,122639507,5228982,NA,trans,2.20E-11
ILMN_1793549,ILMN_2395981,0.537,0,PTPN4,PYHIN1,1,0.179,0.375,0.302,0.176,2,1,120451383,157181386,NA,trans,2.32E-11
ILMN_1663119,ILMN_1815205,-0.069,0.004,DSC2,LYZ,0.813,0.146,0.256,0.921,0.256,18,12,26900109,68032310,NA,trans,2.57E-11
ILMN_2050911,ILMN_1685057,0.638,0,SLC22A4,SLC22A4,0.917,0.165,0.506,0.363,0.106,5,5,131670507,131663027,7480,cis,2.74E-11
ILMN_1719579,ILMN_1684255,0.618,0,LOC441081,MYL4,0.865,0.156,0.382,0.474,0.112,5,17,69821263,42654822,NA,trans,2.94E-11
ILMN_2147105,ILMN_1696843,0.634,0,LOC440348,LOC613037,0.958,0.173,0.501,0.324,0.114,16,16,72982993,30235922,42747071,cis,3.07E-11
ILMN_1782178,ILMN_1794230,0.074,0.002,LOC642946,SCAND1,0.681,0.123,0.999,0.356,0.171,1,20,211096907,34541852,NA,trans,3.08E-11
ILMN_1772888,ILMN_2116366,0.613,0,LOC645688,RPL12,1,0.181,0.531,0.588,0.089,17,9,55866275,130213607,NA,trans,3.30E-11
ILMN_1721762,ILMN_1687571,-0.016,0.508,IL18RAP,LOC728734,-0.486,0.088,0.999,0.79,0.112,2,16,102435293,28567086,NA,trans,3.34E-11
ILMN_1656920,ILMN_1671565,-0.03,0.211,CRIP1,RNASET2,-0.656,0.119,0.317,0.999,0.187,14,6,105025870,167263060,NA,trans,3.54E-11
ILMN_1737195,ILMN_2310703,-0.023,0.333,CENPK,RPS26L,-0.485,0.088,0.999,0.924,0.103,5,13,64853096,99990206,NA,trans,3.56E-11
ILMN_1798177,ILMN_2399463,0.045,0.061,CHURC1,VAV3,0.49,0.089,0.999,0.653,0.12,14,1,64471249,108114542,NA,trans,3.68E-11
ILMN_2189936,ILMN_2189933,0.643,0,RPL36AL,RPL36AL,1,0.182,0.491,0.323,0.115,14,14,50085848,50085787,61,cis,3.92E-11
ILMN_1743145,ILMN_1747935,0.013,0.597,ERAP2,GOLGB1,-0.473,0.087,0.999,0.69,0.122,5,3,96274820,122865847,NA,trans,5.43E-11
ILMN_1692477,ILMN_1773313,-0.015,0.518,MGAT5B,USMG5,-0.499,0.092,0.29,0.999,0.186,17,10,72457592,105154019,NA,trans,5.83E-11
ILMN_1676528,ILMN_1765332,0.111,0,BTN3A2,TIMM10,-0.474,0.088,0.999,0.999,0.109,6,11,26378113,57296016,NA,trans,7.19E-11
ILMN_1671142,ILMN_1708041,0.506,0,GPR68,PLEKHF1,1,0.186,0.306,0.334,0.198,14,19,91699107,30166200,NA,trans,7.60E-11
ILMN_1654823,ILMN_1750273,0.518,0,MGC70863,RPL23AP7,1,0.186,0.457,0.273,0.175,22,2,49569316,114099751,NA,trans,7.60E-11
ILMN_1737195,ILMN_1752592,0.003,0.897,CENPK,HLA-DRB4,-0.472,0.088,0.999,0.75,0.116,5,6,64853096,32581153,NA,trans,8.16E-11
ILMN_1687571,ILMN_2336133,-0.226,0,LOC728734,SULT1A4,-0.781,0.146,0.79,0.715,0.12,16,16,28567086,29382990,815904,cis,8.83E-11
ILMN_2369018,ILMN_1694818,-0.008,0.728,EVI2A,LOC402096,0.871,0.163,0.937,0.285,0.234,17,2,29644806,106327471,NA,trans,9.11E-11
ILMN_1673682,ILMN_2059535,0.163,0,GATAD2A,PPM1F,1,0.188,0.606,0.367,0.227,19,22,19478666,22273825,NA,trans,1.04E-10
ILMN_2208495,ILMN_1665526,0.007,0.778,LASS5,TCEA2,-0.787,0.148,0.927,0.288,0.224,12,20,48810125,62174020,NA,trans,1.05E-10
ILMN_1691959,ILMN_2120982,-0.03,0.212,AKAP2,ALG11,-0.762,0.144,0.261,0.999,0.216,9,13,111974427,51501736,NA,trans,1.21E-10
ILMN_1737195,ILMN_1697499,0.008,0.73,CENPK,HLA-DRB5,0.47,0.09,0.999,0.748,0.115,5,6,64853096,32593374,NA,trans,1.77E-10
ILMN_2060413,ILMN_1691071,0.482,0,CD24,FCRLA,0.919,0.177,0.405,0.394,0.16,Y,1,21152795,159950596,NA,trans,2.08E-10
ILMN_2334242,ILMN_1815205,-0.411,0,CREB1,LYZ,-0.974,0.188,0.441,0.921,0.117,2,12,208171507,68032310,NA,trans,2.21E-10
ILMN_2086222,ILMN_1772459,0.007,0.755,BRWD2,RPS23,0.484,0.094,0.999,0.999,0.1,10,5,122639507,81605044,NA,trans,2.62E-10
ILMN_2402805,ILMN_1767481,0.057,0.017,TRPC4AP,XRCC6BP1,0.463,0.09,0.999,0.832,0.105,20,12,33590378,56633731,NA,trans,2.68E-10
ILMN_1743145,ILMN_2201966,0.011,0.657,ERAP2,N4BP1,0.462,0.09,0.999,0.836,0.108,5,16,96274820,48572789,NA,trans,2.85E-10
ILMN_1798177,ILMN_1697499,-0.013,0.574,CHURC1,HLA-DRB5,-0.467,0.091,0.999,0.748,0.114,14,6,64471249,32593374,NA,trans,2.87E-10
ILMN_1713124,ILMN_2055781,0.617,0,AKR1C3,KLRF1,0.737,0.144,0.475,0.507,0.103,10,12,5137829,9888803,NA,trans,3.09E-10
ILMN_1725661,ILMN_1705183,0.667,0,DEFA1B,MPO,0.808,0.158,0.275,0.454,0.123,8,17,6856667,56347641,NA,trans,3.16E-10
ILMN_2391512,ILMN_2285568,0.655,0,NAAA,NAAA,0.777,0.152,0.672,0.289,0.104,4,4,77060087,77055113,4974,cis,3.19E-10
ILMN_1737195,ILMN_1773313,-0.015,0.521,CENPK,USMG5,-0.475,0.093,0.999,0.999,0.099,5,10,64853096,105154019,NA,trans,3.26E-10
ILMN_2067682,ILMN_1769734,-0.017,0.49,LOC401431,NT5C3,0.959,0.188,0.255,0.648,0.314,7,7,149195971,33057109,116138862,cis,3.38E-10
ILMN_1704985,ILMN_1797893,-0.011,0.636,CYP27A1,PFAAP5,0.459,0.09,0.999,0.948,0.103,2,13,219387910,31989252,NA,trans,3.40E-10
ILMN_1676528,ILMN_1758623,0.041,0.089,BTN3A2,HIST1H2BD,0.443,0.087,0.999,0.829,0.105,6,6,26378113,26158384,219729,cis,3.54E-10
ILMN_1739756,ILMN_2082593,0.693,0,KIR2DL4,KIR3DL3,0.814,0.16,0.371,0.31,0.121,19,19,67964,59939601,59871637,cis,3.63E-10
ILMN_1700067,ILMN_1721762,0.014,0.559,BTN3A2,IL18RAP,-0.468,0.092,0.999,0.999,0.101,6,2,26368410,102435293,NA,trans,3.64E-10
ILMN_1778681,ILMN_1691071,0.556,0,EBF1,FCRLA,1,0.198,0.309,0.394,0.163,5,1,158058476,159950596,NA,trans,4.41E-10
ILMN_1708041,ILMN_1742026,0.574,0,PLEKHF1,PYHIN1,1,0.198,0.334,0.378,0.153,19,1,30166200,157181319,NA,trans,4.41E-10
ILMN_1658425,ILMN_1810274,-0.027,0.268,DAG1,HOXB2,-1,0.199,0.255,0.999,0.247,3,17,49547714,46620338,NA,trans,5.03E-10
ILMN_2055781,ILMN_1740633,0.712,0,KLRF1,PRF1,1,0.199,0.507,0.287,0.097,12,10,9888803,72357383,NA,trans,5.03E-10
ILMN_2038778,ILMN_1343295,0.73,0,GAPDH,GAPDH,1,0.199,0.424,0.281,0.1,12,12,6517340,6517320,20,cis,5.03E-10
ILMN_1681542,ILMN_1751120,0.49,0,HIST1H4E,HIST1H4H,1,0.2,0.352,0.522,0.152,6,6,26205148,26393371,188223,cis,5.73E-10
ILMN_1687571,ILMN_1681016,0.249,0,LOC728734,SPNS1,0.849,0.17,0.79,0.619,0.128,16,16,28567086,28903301,336215,cis,5.91E-10
ILMN_2055781,ILMN_1742026,0.462,0,KLRF1,PYHIN1,1,0.201,0.507,0.378,0.157,12,1,9888803,157181319,NA,trans,6.52E-10
ILMN_1787567,ILMN_1692177,0.727,0,TSC22D1,TSC22D1,1,0.201,0.295,0.266,0.125,13,13,45008123,45010708,2585,cis,6.52E-10
ILMN_2368597,ILMN_1706553,0.458,0,SMG7,SMG7,0.962,0.194,0.333,0.39,0.189,1,1,181789260,181789650,390,cis,7.09E-10
ILMN_2208495,ILMN_1710962,-0.016,0.505,LASS5,TMEM97,0.451,0.091,0.927,0.611,0.133,12,17,48810125,23679301,NA,trans,7.19E-10
ILMN_1793549,ILMN_1742026,0.541,0,PTPN4,PYHIN1,0.901,0.182,0.375,0.378,0.15,2,1,120451383,157181319,NA,trans,7.40E-10
ILMN_1804854,ILMN_2230902,0.601,0,CTNNA1,CTNNA1,1,0.202,0.999,0.461,0.075,5,5,138260394,138266197,5803,cis,7.40E-10
ILMN_1704985,ILMN_1870303,0.012,0.62,CYP27A1,HS.570838,-0.44,0.089,0.999,0.77,0.114,2,4,219387910,103983901,NA,trans,7.66E-10
ILMN_1743145,ILMN_1896967,-0.027,0.254,ERAP2,HS.447737,0.449,0.091,0.999,0.68,0.123,5,5,96274820,100269020,3994200,cis,8.05E-10
ILMN_1720059,ILMN_2196328,-0.037,0.117,HMBOX1,POSTN,-0.804,0.163,0.999,0.292,0.207,8,13,28965044,37035105,NA,trans,8.12E-10
ILMN_1699599,ILMN_1797428,0.476,0,FCRL3,FCRL3,0.858,0.174,0.556,0.394,0.136,1,1,157648456,157648042,414,cis,8.18E-10
ILMN_1815205,ILMN_1801387,0.378,0,LYZ,YEATS4,1,0.203,0.921,0.366,0.137,12,12,68032310,68070407,38097,cis,8.39E-10
ILMN_1723846,ILMN_1792607,-0.054,0.023,FAM119B,OBP2A,-0.596,0.121,0.999,0.32,0.177,12,9,56462454,137579585,NA,trans,8.41E-10
ILMN_1700316,ILMN_2290808,0.617,0,LOC440055,RPL21,0.906,0.184,0.46,0.313,0.126,11,13,74134847,26723694,NA,trans,8.48E-10
ILMN_1705183,ILMN_1723035,0.517,0,MPO,OLR1,0.953,0.194,0.454,0.282,0.169,17,12,56347641,10311172,NA,trans,9.00E-10
ILMN_1696843,ILMN_2070052,0.512,0,LOC613037,LOC613037,0.997,0.203,0.324,0.455,0.162,16,16,30235922,30234500,1422,cis,9.05E-10
ILMN_2060413,ILMN_1659227,0.415,0,CD24,CD79A,0.877,0.179,0.405,0.315,0.199,Y,19,21152795,42383286,NA,trans,9.61E-10
ILMN_2096372,ILMN_1709348,0.742,0,ALDH1A1,ALDH1A1,1,0.205,0.327,0.293,0.107,9,9,75515913,75520916,5003,cis,1.07E-09
ILMN_1726589,ILMN_1664922,0.391,0,CD248,FLNB,0.852,0.175,0.318,0.533,0.178,11,3,66082065,58132673,NA,trans,1.12E-09
ILMN_2248589,ILMN_2208495,-0.003,0.911,DHX40,LASS5,-0.74,0.152,0.343,0.927,0.199,17,12,55040123,48810125,NA,trans,1.12E-09
ILMN_1666192,ILMN_1730054,-0.031,0.191,DCTN5,GSTT1,-0.452,0.093,0.962,0.776,0.112,16,22,23588370,22706376,NA,trans,1.17E-09
ILMN_1709800,ILMN_1805377,0.692,0,POMZP3,ZP3,0.747,0.154,0.501,0.319,0.11,7,7,76247594,75909276,338318,cis,1.23E-09
ILMN_2095653,ILMN_2334242,-0.429,0,AFMID,CREB1,-0.916,0.189,0.667,0.441,0.13,17,2,73715232,208171507,NA,trans,1.26E-09
ILMN_2120982,ILMN_1761551,-0.005,0.823,ALG11,FAT4,-0.551,0.114,0.999,0.296,0.189,13,4,51501736,126632190,NA,trans,1.34E-09
ILMN_2387680,ILMN_1804935,0.716,0,VNN3,VNN3,1,0.207,0.694,0.261,0.085,6,6,133087707,133085777,1930,cis,1.36E-09
ILMN_1813314,ILMN_1796179,0.651,0,HIST1H2BK,HIST1H2BK,0.858,0.178,0.377,0.252,0.143,6,6,27222496,27214075,8421,cis,1.43E-09
ILMN_1676924,ILMN_2319000,0.53,0,CD247,MATK,1,0.208,0.668,0.308,0.133,1,19,165666606,3777979,NA,trans,1.53E-09
ILMN_2319910,ILMN_2213136,0.54,0,DGKA,LEF1,1,0.208,0.336,0.368,0.167,12,4,54633446,109188515,NA,trans,1.53E-09
ILMN_1784216,ILMN_1719622,0.052,0.029,KRTAP19-6,RABEP1,0.845,0.176,0.256,0.985,0.224,21,17,31914049,5228982,NA,trans,1.58E-09
ILMN_1806056,ILMN_1705183,0.656,0,CEACAM8,MPO,0.835,0.174,0.252,0.454,0.13,19,17,47776394,56347641,NA,trans,1.60E-09
ILMN_1661266,ILMN_1697499,-0.373,0,HLA-DQB1,HLA-DRB5,-0.667,0.139,0.718,0.748,0.1,6,6,32736001,32593374,142627,cis,1.60E-09
ILMN_1676924,ILMN_1793549,0.458,0,CD247,PTPN4,0.954,0.199,0.668,0.375,0.136,1,2,165666606,120451383,NA,trans,1.64E-09
ILMN_1726589,ILMN_2213136,0.505,0,CD248,LEF1,0.895,0.187,0.318,0.368,0.178,11,4,66082065,109188515,NA,trans,1.70E-09
ILMN_1897741,ILMN_1757106,0.413,0,HS.137971,Mar-06,0.895,0.188,0.624,0.363,0.151,5,5,10490848,10435017,55831,cis,1.93E-09
ILMN_1676528,ILMN_2307025,0.039,0.105,BTN3A2,CPNE1,0.437,0.092,0.999,0.999,0.096,6,20,26378113,34214540,NA,trans,2.03E-09
ILMN_2334242,ILMN_2051900,0.69,0,CREB1,EID2B,1,0.211,0.441,0.301,0.109,2,19,208171507,44713911,NA,trans,2.14E-09
ILMN_1791052,ILMN_1778347,0.03,0.209,FKBPL,NUDT2,0.895,0.189,0.292,0.96,0.222,6,9,32204760,34333384,NA,trans,2.19E-09
ILMN_1743145,ILMN_2310703,-0.04,0.095,ERAP2,RPS26L,-0.445,0.094,0.999,0.924,0.1,5,13,96274820,99990206,NA,trans,2.20E-09
ILMN_1704985,ILMN_2201966,-0.017,0.476,CYP27A1,N4BP1,-0.43,0.091,0.999,0.836,0.106,2,16,219387910,48572789,NA,trans,2.30E-09
ILMN_1658624,ILMN_1760315,0.528,0,UBXN6,VWCE,0.789,0.167,0.381,0.643,0.117,19,11,4445564,61025893,NA,trans,2.31E-09
ILMN_1723684,ILMN_1696463,-0.048,0.046,DARC,SPI1,0.628,0.133,0.326,0.906,0.205,1,11,157442608,47376454,NA,trans,2.34E-09
ILMN_1654151,ILMN_1704291,0.114,0,COX6C,LOC645317,0.986,0.209,0.288,0.512,0.293,8,1,100973328,15803612,NA,trans,2.39E-09
ILMN_2060413,ILMN_2366212,0.44,0,CD24,CD79B,0.888,0.189,0.405,0.281,0.203,Y,17,21152795,62006098,NA,trans,2.62E-09
ILMN_2060413,ILMN_1785175,0.425,0,CD24,SWAP70,1,0.213,0.405,0.295,0.213,Y,11,21152795,9729342,NA,trans,2.67E-09
ILMN_1656868,ILMN_1696843,0.535,0,LOC23117,LOC613037,1,0.213,0.427,0.324,0.16,16,16,21321256,30235922,8914666,cis,2.67E-09
ILMN_1680453,ILMN_2193233,0.612,0,ITM2C,MGC29506,1,0.213,0.331,0.275,0.165,2,5,231451910,138751302,NA,trans,2.67E-09
ILMN_1716276,ILMN_2055781,0.623,0,CCL4L2,KLRF1,0.849,0.181,0.265,0.507,0.129,17,12,31664916,9888803,NA,trans,2.72E-09
ILMN_2336133,ILMN_1738369,-0.211,0,SULT1A4,TUFM,-0.558,0.119,0.715,0.949,0.104,16,16,29382990,28761848,621142,cis,2.74E-09
ILMN_2186678,ILMN_1805992,-0.017,0.476,C6ORF211,KIAA1598,-0.844,0.18,0.283,0.89,0.232,6,10,151790834,118634571,NA,trans,2.75E-09
ILMN_1681016,ILMN_2336133,-0.184,0,SPNS1,SULT1A4,-0.838,0.179,0.619,0.715,0.145,16,16,28903301,29382990,479689,cis,2.85E-09
ILMN_2162972,ILMN_1801387,0.336,0,LYZ,YEATS4,1,0.214,0.911,0.366,0.147,12,12,68033815,68070407,36592,cis,2.97E-09
ILMN_2319000,ILMN_2395981,0.591,0,MATK,PYHIN1,1,0.214,0.308,0.302,0.172,19,1,3777979,157181386,NA,trans,2.97E-09
ILMN_1743145,ILMN_1773313,-0.042,0.081,ERAP2,USMG5,-0.457,0.098,0.999,0.999,0.096,5,10,96274820,105154019,NA,trans,3.11E-09
ILMN_2334242,ILMN_2262275,0.595,0,CREB1,TRIM13,0.908,0.195,0.441,0.26,0.149,2,13,208171507,49473132,NA,trans,3.22E-09
ILMN_2144088,ILMN_1728467,0.048,0.045,FDFT1,GHITM,-0.586,0.126,0.999,0.351,0.184,8,10,11696361,85902336,NA,trans,3.31E-09
ILMN_2055781,ILMN_2395981,0.52,0,KLRF1,PYHIN1,0.938,0.202,0.507,0.302,0.153,12,1,9888803,157181386,NA,trans,3.42E-09
ILMN_2307025,ILMN_1757467,-0.103,0,CPNE1,H1F0,-0.45,0.097,0.999,0.738,0.106,20,22,34214540,36533168,NA,trans,3.50E-09
ILMN_1666078,ILMN_1820787,-0.05,0.036,HLA-H,HS.573264,-0.436,0.094,0.742,0.852,0.12,6,6,29859670,26582548,3277122,cis,3.51E-09
ILMN_1810274,ILMN_2077504,0.028,0.245,HOXB2,RNF160,-0.445,0.096,0.999,0.999,0.101,17,21,46620338,29222700,NA,trans,3.56E-09
ILMN_2047856,ILMN_2383306,-0.048,0.046,EFHA2,GPATCH4,-0.774,0.167,0.285,0.999,0.204,8,1,17024255,156564614,NA,trans,3.57E-09
ILMN_1739942,ILMN_1824554,0.013,0.598,FAM117B,HS.204736,-1,0.216,0.848,0.276,0.268,2,8,203342628,32271745,NA,trans,3.66E-09
ILMN_1714895,ILMN_1679837,-0.062,0.01,LOC260340,SGPP1,-0.995,0.215,0.476,0.335,0.3,11,14,109281994,64153040,NA,trans,3.69E-09
ILMN_1661770,ILMN_1696463,0.067,0.005,JMJD2C,SPI1,0.756,0.164,0.328,0.906,0.195,9,11,7165007,47376454,NA,trans,4.03E-09
ILMN_1743145,ILMN_1758623,-0.015,0.536,ERAP2,HIST1H2BD,0.433,0.094,0.999,0.829,0.109,5,6,96274820,26158384,NA,trans,4.10E-09
ILMN_2050023,ILMN_1739586,0.045,0.059,CCDC23,FEZ2,-0.437,0.095,0.978,0.842,0.112,1,2,43045619,36779555,NA,trans,4.22E-09
ILMN_1722492,ILMN_2162972,-0.446,0,DUSP19,LYZ,-0.767,0.167,0.367,0.911,0.115,2,12,183672674,68033815,NA,trans,4.37E-09
ILMN_1757467,ILMN_1805992,0.155,0,H1F0,KIAA1598,0.523,0.114,0.738,0.89,0.11,22,10,36533168,118634571,NA,trans,4.48E-09
ILMN_1804854,ILMN_1726516,0.204,0,CTNNA1,SCRIB,0.793,0.173,0.999,0.377,0.151,5,8,138260394,144945130,NA,trans,4.57E-09
ILMN_1715963,ILMN_1690077,0.516,0,FBXO7,PPM1A,0.889,0.194,0.431,0.273,0.173,22,14,31201300,59819219,NA,trans,4.60E-09
ILMN_1668277,ILMN_2144088,-0.006,0.809,BLK,FDFT1,-0.809,0.177,0.358,0.999,0.193,8,8,11420520,11696361,275841,cis,4.86E-09
ILMN_1792152,ILMN_1678522,0.012,0.626,CCDC135,LOC644934,0.662,0.145,0.36,0.896,0.189,16,15,56322460,62672248,NA,trans,4.98E-09
ILMN_1815306,ILMN_2202940,0.245,0,AP2A1,CHPT1,0.916,0.201,0.516,0.475,0.187,19,12,50310094,100641642,NA,trans,5.18E-09
ILMN_1815306,ILMN_2370872,0.226,0,AP2A1,GRINA,0.651,0.143,0.516,0.999,0.12,19,8,50310094,145067435,NA,trans,5.30E-09
ILMN_1757636,ILMN_1719064,0.025,0.293,C5ORF35,KCTD10,-0.45,0.099,0.999,0.999,0.101,5,12,56210793,109886624,NA,trans,5.48E-09
ILMN_1704985,ILMN_2180866,0.006,0.794,CYP27A1,RPS26P11,0.427,0.094,0.999,0.929,0.102,2,X,219387910,71181176,NA,trans,5.56E-09
ILMN_2102721,ILMN_1705183,0.664,0,DEFA1B,MPO,0.754,0.166,0.286,0.454,0.127,8,17,6856674,56347641,NA,trans,5.57E-09
ILMN_1659227,ILMN_1811049,0.559,0,CD79A,POU2AF1,0.975,0.215,0.315,0.351,0.168,19,11,42383286,110728486,NA,trans,5.76E-09
ILMN_1707088,ILMN_1715169,-0.075,0.002,DENND2D,HLA-DRB1,-0.825,0.182,0.499,0.816,0.17,1,6,111730014,32654825,NA,trans,5.82E-09
ILMN_2118663,ILMN_2383306,-0.003,0.899,ERV3,GPATCH4,0.435,0.096,0.999,0.999,0.099,7,1,64089138,156564614,NA,trans,5.86E-09
ILMN_1716276,ILMN_2395981,0.608,0,CCL4L2,PYHIN1,0.956,0.211,0.265,0.302,0.174,17,1,31664916,157181386,NA,trans,5.88E-09
ILMN_1745116,ILMN_2064132,0.149,0,ABHD12,NANP,0.847,0.187,0.809,0.473,0.163,20,20,25287490,25543104,255614,cis,5.91E-09
ILMN_1670841,ILMN_1686160,-0.052,0.029,CPNE1,LOC440309,-0.697,0.154,0.966,0.391,0.171,20,15,34214120,91221087,NA,trans,6.01E-09
ILMN_1776939,ILMN_2309180,-0.097,0,MS4A1,SMARCD3,-1,0.221,0.397,0.355,0.308,11,7,59986333,150936151,NA,trans,6.04E-09
ILMN_2162972,ILMN_2348403,-0.082,0.001,LYZ,VRK3,0.677,0.15,0.911,0.271,0.237,12,19,68033815,55176034,NA,trans,6.38E-09
ILMN_1704985,ILMN_1719064,0.044,0.066,CYP27A1,KCTD10,0.442,0.098,0.999,0.999,0.096,2,12,219387910,109886624,NA,trans,6.48E-09
ILMN_1793770,ILMN_1810436,-0.059,0.014,DNAJB6,DNAJC27,-0.992,0.22,0.59,0.545,0.211,7,2,156902552,25166695,NA,trans,6.51E-09
ILMN_1684255,ILMN_1695058,0.41,0,MYL4,SLC38A5,1,0.222,0.474,0.428,0.168,17,X,42654822,48202134,NA,trans,6.65E-09
ILMN_2055781,ILMN_1708041,0.52,0,KLRF1,PLEKHF1,1,0.222,0.507,0.334,0.149,12,19,9888803,30166200,NA,trans,6.65E-09
ILMN_1739942,ILMN_1754553,-0.071,0.003,FAM117B,MED19,0.572,0.127,0.848,0.386,0.193,2,11,203342628,57471401,NA,trans,6.67E-09
ILMN_1803907,ILMN_2341815,-0.045,0.061,HOXC5,TFG,-0.58,0.129,0.447,0.933,0.156,12,3,52714943,100467642,NA,trans,6.92E-09
ILMN_1704985,ILMN_1791912,-0.028,0.248,CYP27A1,SIDT2,-0.418,0.093,0.999,0.839,0.105,2,11,219387910,116573261,NA,trans,6.97E-09
ILMN_2120982,ILMN_1707763,0.005,0.831,ALG11,ST7,0.534,0.119,0.999,0.282,0.192,13,7,51501736,116616642,NA,trans,7.21E-09
ILMN_1813836,ILMN_1798654,0.137,0,DARS,MCM6,1,0.223,0.399,0.591,0.227,2,2,136664886,136598167,66719,cis,7.32E-09
ILMN_2399769,ILMN_1671260,0.772,0,GPR177,GPR177,0.718,0.161,0.347,0.35,0.117,1,1,68603576,68611643,8067,cis,8.21E-09
ILMN_2376133,ILMN_2327276,0.227,0,KIAA1191,STAU1,0.99,0.223,0.425,0.391,0.241,5,20,175773149,47730151,NA,trans,9.02E-09
ILMN_1653469,ILMN_2189933,0.147,0,RPL12,RPL36AL,0.936,0.211,0.466,0.323,0.272,9,14,130213016,50085787,NA,trans,9.16E-09
ILMN_1896277,ILMN_1778360,0.013,0.597,HS.385516,PYGB,0.642,0.145,0.395,0.999,0.169,10,20,122935164,25226301,NA,trans,9.53E-09
ILMN_1664464,ILMN_1701237,0.397,0,PTGDS,SH2D1B,0.788,0.178,0.502,0.551,0.136,9,1,138994544,162365598,NA,trans,9.56E-09
ILMN_2319000,ILMN_1708041,0.69,0,MATK,PLEKHF1,1,0.226,0.308,0.334,0.124,19,19,3777979,30166200,26388221,cis,9.65E-09
ILMN_2127722,ILMN_1805992,-0.071,0.003,FAM174A,KIAA1598,-0.424,0.096,0.999,0.89,0.099,5,10,99899217,118634571,NA,trans,1.00E-08
ILMN_2127722,ILMN_2228180,0.009,0.701,FAM174A,MSRA,-0.41,0.093,0.999,0.772,0.112,5,8,99899217,10323581,NA,trans,1.04E-08
ILMN_2086222,ILMN_1804854,0.091,0,BRWD2,CTNNA1,0.431,0.098,0.999,0.999,0.092,10,5,122639507,138260394,NA,trans,1.09E-08
ILMN_1691071,ILMN_1785175,0.615,0,FCRLA,SWAP70,0.888,0.202,0.394,0.295,0.141,1,11,159950596,9729342,NA,trans,1.10E-08
ILMN_1881081,ILMN_1678934,-0.014,0.566,HS.571151,POLR1E,-0.971,0.221,0.747,0.424,0.221,6,9,26335216,37489312,NA,trans,1.11E-08
ILMN_1719064,ILMN_1805992,-0.001,0.964,KCTD10,KIAA1598,-0.426,0.097,0.999,0.89,0.104,12,10,109886624,118634571,NA,trans,1.12E-08
ILMN_1679357,ILMN_1705183,0.667,0,DEFA1B,MPO,0.753,0.172,0.274,0.454,0.13,8,17,6855183,56347641,NA,trans,1.20E-08
ILMN_1738220,ILMN_2205322,0.537,0,TREML3,TREML4,0.801,0.183,0.343,0.503,0.137,6,6,41284426,41313769,29343,cis,1.20E-08
ILMN_1704985,ILMN_2352121,-0.061,0.01,CYP27A1,NT5C3,0.411,0.094,0.999,0.683,0.124,2,7,219387910,33055350,NA,trans,1.23E-08
ILMN_1757636,ILMN_1765332,0.03,0.212,C5ORF35,TIMM10,0.437,0.1,0.999,0.999,0.097,5,11,56210793,57296016,NA,trans,1.24E-08
ILMN_1743145,ILMN_1808238,0.012,0.612,ERAP2,RBPMS2,0.419,0.096,0.999,0.753,0.112,5,15,96274820,65032145,NA,trans,1.27E-08
ILMN_1760222,ILMN_1800733,-0.05,0.037,C14ORF144,MANBA,-0.975,0.224,0.251,0.775,0.272,14,4,103780450,103771985,NA,trans,1.34E-08
ILMN_1716276,ILMN_1742026,0.554,0,CCL4L2,PYHIN1,0.914,0.21,0.265,0.378,0.175,17,1,31664916,157181319,NA,trans,1.35E-08
ILMN_2179837,ILMN_2383306,0.059,0.014,BANF1,GPATCH4,0.683,0.157,0.436,0.999,0.157,11,1,65527778,156564614,NA,trans,1.36E-08
ILMN_1671142,ILMN_2213136,-0.426,0,GPR68,LEF1,-1,0.23,0.306,0.368,0.219,14,4,91699107,109188515,NA,trans,1.37E-08
ILMN_1740633,ILMN_1701237,0.561,0,PRF1,SH2D1B,1,0.23,0.287,0.551,0.141,10,1,72357383,162365598,NA,trans,1.37E-08
ILMN_2101034,ILMN_1772459,-0.005,0.83,CAPN12,RPS23,0.443,0.102,0.332,0.999,0.172,19,5,43913036,81605044,NA,trans,1.40E-08
ILMN_2319000,ILMN_1742026,0.541,0,MATK,PYHIN1,0.951,0.219,0.308,0.378,0.168,19,1,3777979,157181319,NA,trans,1.41E-08
ILMN_2317364,ILMN_1820787,-0.028,0.236,CSN1S1,HS.573264,-0.89,0.205,0.373,0.852,0.209,4,6,70812094,26582548,NA,trans,1.42E-08
ILMN_1719064,ILMN_1796335,0.039,0.106,KCTD10,LPCAT2,0.429,0.099,0.999,0.954,0.098,12,16,109886624,54174433,NA,trans,1.47E-08
ILMN_1815205,ILMN_2348403,-0.037,0.126,LYZ,VRK3,0.706,0.163,0.921,0.271,0.229,12,19,68032310,55176034,NA,trans,1.48E-08
