probe_1,probe_2,rp,rp_pval,gene_1,gene_2,rg,rg_se,p1_h2,p2_h2,exp_se,p1_chr,p2_chr,p1_co,p2_co,dist,cis_trans,p_val
ILMN_1704985,ILMN_1705746,-0.001,0.956,CYP27A1,LSG1,-0.655,0.059,0.999,0.435,0.164,2,3,219387910,195843083,NA,trans,1.23E-31
ILMN_1757636,ILMN_2391512,0.082,0.001,C5ORF35,NAAA,0.666,0.06,0.999,0.672,0.123,5,4,56210793,77060087,NA,trans,1.25E-31
ILMN_1696843,ILMN_1768311,0.831,0,LOC613037,LOC728888,1,0.091,0.324,0.369,0.063,16,16,30235922,29301000,934922,cis,4.32E-31
ILMN_2313901,ILMN_1679666,-0.008,0.729,PAM,SCGB3A1,-0.653,0.06,0.999,0.413,0.167,5,5,102340879,180017645,77676766,cis,1.38E-30
ILMN_1737195,ILMN_1797764,-0.03,0.215,CENPK,RPL22L1,-0.649,0.062,0.999,0.578,0.138,5,3,64853096,172065604,NA,trans,1.22E-28
ILMN_2313901,ILMN_1718668,0.003,0.906,PAM,ZBTB26,-0.635,0.062,0.999,0.376,0.175,5,9,102340879,125680743,NA,trans,1.29E-27
ILMN_2055781,ILMN_1701237,0.7,0,KLRF1,SH2D1B,0.923,0.091,0.507,0.551,0.072,12,1,9888803,162365598,NA,trans,3.57E-27
ILMN_2292178,ILMN_2403228,0.869,0,CLEC12A,CLEC12A,1,0.099,0.449,0.642,0.031,12,12,10022843,10029119,6276,cis,5.47E-27
ILMN_2095653,ILMN_1815205,0.565,0,AFMID,LYZ,1,0.1,0.667,0.921,0.071,17,12,73715232,68032310,NA,trans,1.52E-26
ILMN_1806056,ILMN_1725661,0.886,0,CEACAM8,DEFA1B,0.908,0.091,0.252,0.275,0.068,19,8,47776394,6856667,NA,trans,1.90E-26
ILMN_1676528,ILMN_1651496,0.07,0.004,BTN3A2,HIST1H2BD,0.618,0.062,0.999,0.8,0.112,6,6,26378113,26171304,206809,cis,2.11E-26
ILMN_1659227,ILMN_1691071,0.773,0,CD79A,FCRLA,0.935,0.097,0.315,0.394,0.082,19,1,42383286,159950596,NA,trans,5.46E-25
ILMN_1806056,ILMN_2102721,0.884,0,CEACAM8,DEFA1B,0.901,0.094,0.252,0.286,0.069,19,8,47776394,6856674,NA,trans,9.24E-25
ILMN_1676528,ILMN_1699071,-0.021,0.375,BTN3A2,C21ORF7,-0.609,0.064,0.999,0.53,0.143,6,21,26378113,29469766,NA,trans,1.81E-24
ILMN_1737195,ILMN_1793770,-0.017,0.484,CENPK,DNAJB6,0.628,0.066,0.999,0.59,0.141,5,7,64853096,156902552,NA,trans,1.81E-24
ILMN_1676528,ILMN_2357015,-0.055,0.021,BTN3A2,GRK6,0.607,0.064,0.999,0.373,0.182,6,5,26378113,176800545,NA,trans,2.44E-24
ILMN_2191428,ILMN_1762436,0.739,0,UBB,UBB,1,0.107,0.437,0.477,0.073,17,17,16226599,16225155,1444,cis,9.12E-24
ILMN_1676528,ILMN_1695092,-0.079,0.001,BTN3A2,WRB,-0.606,0.065,0.999,0.592,0.128,6,21,26378113,39690969,NA,trans,1.13E-23
ILMN_1773388,ILMN_2196550,0.734,0,C13ORF18,C13ORF18,1,0.108,0.398,0.485,0.077,13,13,45815618,45815534,84,cis,2.06E-23
ILMN_1743145,ILMN_1795340,0.007,0.776,ERAP2,TMPO,0.619,0.067,0.999,0.541,0.144,5,12,96274820,97462226,NA,trans,2.49E-23
ILMN_1743145,ILMN_1786050,-0.001,0.966,ERAP2,RBBP9,-0.618,0.067,0.999,0.452,0.158,5,20,96274820,18467292,NA,trans,2.87E-23
ILMN_1693192,ILMN_2114720,0.657,0,PI3,SLPI,0.876,0.098,0.552,0.509,0.082,20,20,43238123,43881768,643645,cis,3.94E-22
ILMN_1806056,ILMN_1679357,0.887,0,CEACAM8,DEFA1B,0.884,0.1,0.252,0.274,0.074,19,8,47776394,6855183,NA,trans,9.57E-22
ILMN_2352023,ILMN_1657129,0.006,0.792,RIPK5,SKAP2,0.612,0.07,0.999,0.569,0.14,1,7,203378372,26708399,NA,trans,2.27E-21
ILMN_2202940,ILMN_1729112,0.78,0,CHPT1,CHPT1,1,0.115,0.475,0.627,0.052,12,12,100641642,100638149,3493,cis,3.45E-21
ILMN_1737195,ILMN_2374692,0.048,0.046,CENPK,WAC,0.603,0.071,0.999,0.787,0.114,5,10,64853096,28949297,NA,trans,2.01E-20
ILMN_1704985,ILMN_1735712,0.011,0.635,CYP27A1,KRT1,0.588,0.07,0.999,0.751,0.12,2,12,219387910,53068865,NA,trans,4.46E-20
ILMN_1806056,ILMN_2165289,0.882,0,CEACAM8,DEFA3,0.881,0.105,0.252,0.263,0.078,19,8,47776394,6875765,NA,trans,4.84E-20
ILMN_2122952,ILMN_2122953,0.615,0,CISD1,CISD1,0.826,0.099,0.629,0.684,0.074,10,10,59707034,59717475,10441,cis,7.22E-20
